employee_first_name,employee_middle_name,employee_last_name,employee_email,country_of_citizenship_name,country_of_citizenship_iso2,work_location_country_name,work_location_country_iso2,job_title,scope_of_work,niural_entity_to_use,entity_name,entity_type,entity_incorporation_country_name,entity_incorporation_country_iso2,entity_incorporation_state_name,entity_incorporation_state_iso2,entity_incorporation_address_line1,entity_incorporation_city,entity_incorporation_zipcode,entity_representative_name,entity_representative_email,contract_title,contract_type,local_currency,PK,SK,employer_id,contract_status,eor_employee_id,contract_id,is_generic_contract,niural_entity_id,created_date,updated_date
Jello,null,Kharal,flkajfdl@gmail.com,United States,US,Nepal,NP,Engineer,Software Engineering,NIURAL_GROUP,Niural Inc,Limited liability company (LLC),United States,US,California,CA,865 Market Street San Francisco Centre,San Francisco,94103,Zeppy Test,suraj@niural.com,Jello Kharal - Engineer,EOR,NPR,org#b97af364-fe69-4134-93fe-35167d644df1#member#11281cf0-8a9e-41e2-b76e-6ee64db037b0,contract#eor#8b26ada3-68b1-4fd6-b6bd-f0e5e6c07630,b97af364-fe69-4134-93fe-35167d644df1,DRAFT,11281cf0-8a9e-41e2-b76e-6ee64db037b0,8b26ada3-68b1-4fd6-b6bd-f0e5e6c07630,True,niural_generic_entity,2024-06-13T06:42:18.045939+00:00,2024-06-13T06:42:18.045939+00:00
Jello,null,Kharal,flkajfdl@gmail.com,United States,US,Nepal,NP,Engineer,Software Engineering,NIURAL_GROUP,Niural Inc,Limited liability company (LLC),United States,US,California,CA,865 Market Street San Francisco Centre,San Francisco,94103,Zeppy Test,suraj@niural.com,Jello Kharal - Engineer,EOR,NPR,org#b97af364-fe69-4134-93fe-35167d644df1#member#b97acf2d-3ded-4524-9c92-d51ba8e6b0b6,contract#eor#7e1e1921-a57b-4bc2-9b56-6d9ce7d7406e,b97af364-fe69-4134-93fe-35167d644df1,DRAFT,b97acf2d-3ded-4524-9c92-d51ba8e6b0b6,7e1e1921-a57b-4bc2-9b56-6d9ce7d7406e,True,niural_generic_entity,2024-06-13T06:44:53.648306+00:00,2024-06-13T06:44:53.648306+00:00
Jello,null,Kharal,flkajfdl@gmail.com,United States,US,Nepal,NP,Engineer,Software Engineering,NIURAL_GROUP,Niural Inc,Limited liability company (LLC),United States,US,California,CA,865 Market Street San Francisco Centre,San Francisco,94103,Zeppy Test,suraj@niural.com,Jello Kharal - Engineer,EOR,NPR,org#b97af364-fe69-4134-93fe-35167d644df1#member#df13c89b-16cc-46f2-b0aa-92a236574e1b,contract#eor#1dd476a7-10f5-4df4-bb70-4e3c15278229,b97af364-fe69-4134-93fe-35167d644df1,DRAFT,df13c89b-16cc-46f2-b0aa-92a236574e1b,1dd476a7-10f5-4df4-bb70-4e3c15278229,True,niural_generic_entity,2024-06-13T06:55:32.680791+00:00,2024-06-13T06:55:32.680791+00:00
Jello,null,Kharal,flkajfdl@gmail.com,United States,US,Nepal,NP,Engineer,Software Engineering,NIURAL_GROUP,Niural Inc,Limited liability company (LLC),United States,US,California,CA,865 Market Street San Francisco Centre,San Francisco,94103,Zeppy Test,suraj@niural.com,Jello Kharal - Engineer,EOR,NPR,org#b97af364-fe69-4134-93fe-35167d644df1#member#73c1975e-7682-4cb1-b827-fd2fefa808cc,contract#eor#e13c4acb-ee75-4ddf-97c7-d36931ef2749,b97af364-fe69-4134-93fe-35167d644df1,DRAFT,73c1975e-7682-4cb1-b827-fd2fefa808cc,e13c4acb-ee75-4ddf-97c7-d36931ef2749,True,niural_generic_entity,2024-06-13T06:56:44.064373+00:00,2024-06-13T06:56:44.064373+00:00
Jello,null,Kharal,flkajfdl@gmail.com,United States,US,Nepal,NP,Engineer,Software Engineering,NIURAL_GROUP,Niural Inc,Limited liability company (LLC),United States,US,California,CA,865 Market Street San Francisco Centre,San Francisco,94103,Zeppy Test,suraj@niural.com,Jello Kharal - Engineer,EOR,NPR,org#b97af364-fe69-4134-93fe-35167d644df1#member#893fe271-dd20-45ca-a62d-0766f330ab77,contract#eor#f5f6e21e-ea75-49c6-be90-964addb45bbb,b97af364-fe69-4134-93fe-35167d644df1,DRAFT,893fe271-dd20-45ca-a62d-0766f330ab77,f5f6e21e-ea75-49c6-be90-964addb45bbb,True,niural_generic_entity,2024-06-13T06:57:47.960954+00:00,2024-06-13T06:57:47.960954+00:00
Jello,null,Kharal,flkajfdl@gmail.com,United States,US,Nepal,NP,Engineer,Software Engineering,NIURAL_GROUP,Niural Inc,Limited liability company (LLC),United States,US,California,CA,865 Market Street San Francisco Centre,San Francisco,94103,Zeppy Test,suraj@niural.com,Jello Kharal - Engineer,EOR,NPR,org#b97af364-fe69-4134-93fe-35167d644df1#member#0f9a60f3-dc16-443e-996f-e85ab1d6a1dc,contract#eor#e9141452-0912-4611-aec2-e3b5f72ef12b,b97af364-fe69-4134-93fe-35167d644df1,DRAFT,0f9a60f3-dc16-443e-996f-e85ab1d6a1dc,e9141452-0912-4611-aec2-e3b5f72ef12b,True,niural_generic_entity,2024-06-13T10:33:52.369165+00:00,2024-06-13T10:33:52.369165+00:00
Jello,null,Kharal,flkajfdl@gmail.com,United States,US,Nepal,NP,Engineer,Software Engineering,NIURAL_GROUP,Niural Inc,Limited liability company (LLC),United States,US,California,CA,865 Market Street San Francisco Centre,San Francisco,94103,Zeppy Test,suraj@niural.com,Jello Kharal - Engineer,EOR,NPR,org#b97af364-fe69-4134-93fe-35167d644df1#member#5730ba0f-40b7-4bc3-a2d9-7a7f2ef46349,contract#eor#989a614b-adcc-4ef6-9171-644adea8558f,b97af364-fe69-4134-93fe-35167d644df1,DRAFT,5730ba0f-40b7-4bc3-a2d9-7a7f2ef46349,989a614b-adcc-4ef6-9171-644adea8558f,True,niural_generic_entity,2024-06-13T10:39:24.652605+00:00,2024-06-13T10:39:24.652605+00:00
Jello,null,Kharal Jello,flkajfdl@gmail.com,United States,US,Nepal,NP,Engineer,Software Engineering,NIURAL_GROUP,Niural Inc,Limited liability company (LLC),United States,US,California,CA,865 Market Street San Francisco Centre,San Francisco,94103,Zeppy Test,suraj@niural.com,Jello Kharal Jello - Engineer,EOR,NPR,org#b97af364-fe69-4134-93fe-35167d644df1#member#44610cdb-f28b-468f-b887-5a716f276385,contract#eor#9264d7e6-895e-48fa-90be-baf31cad00d7,b97af364-fe69-4134-93fe-35167d644df1,DRAFT,44610cdb-f28b-468f-b887-5a716f276385,9264d7e6-895e-48fa-90be-baf31cad00d7,True,niural_generic_entity,2024-06-13T10:57:22.473212+00:00,2024-06-13T10:57:22.473212+00:00
Rahulk,null,Gupta,rahul@gmail.com,Nepal,NP,Nepal,NP,Software Engineer,Engineering,NIURAL_GROUP,Niural Inc,Limited liability company (LLC),United States,US,California,CA,865 Market Street San Francisco Centre,San Francisco,94103,Zeppy Test,suraj@niural.com,Rahulk Gupta - Software Engineer,EOR,NPR,org#b97af364-fe69-4134-93fe-35167d644df1#member#12b282d4-09c2-437a-807c-8a4b4e48d870,contract#eor#c78f429b-c6ac-4094-9c61-5a789dda0d82,b97af364-fe69-4134-93fe-35167d644df1,DRAFT,12b282d4-09c2-437a-807c-8a4b4e48d870,c78f429b-c6ac-4094-9c61-5a789dda0d82,True,niural_generic_entity,2024-06-13T17:01:34.630842+00:00,2024-06-13T17:01:34.630842+00:00
Jello,null,Kharal,flkajfdl@gmail.com,United States,US,Nepal,NP,Engineer,Software Engineering,NIURAL_GROUP,Niural Inc,Limited liability company (LLC),United States,US,California,CA,865 Market Street San Francisco Centre,San Francisco,94103,Zeppy Test,suraj@niural.com,Jello Kharal - Engineer,EOR,NPR,org#b97af364-fe69-4134-93fe-35167d644df1#member#9a4356fc-608a-4515-8e41-4c824538adeb,contract#eor#fafea09a-00e5-4987-a3f1-34b97a76eb53,b97af364-fe69-4134-93fe-35167d644df1,DRAFT,9a4356fc-608a-4515-8e41-4c824538adeb,fafea09a-00e5-4987-a3f1-34b97a76eb53,True,niural_generic_entity,2024-06-13T17:16:56.596732+00:00,2024-06-13T17:16:56.596732+00:00
